Epoch,Train Loss,Val Loss,Val Accuracy,Precision,Recall,F1
1,0.6093929940654386,0.5450397584216005,0.7574133658332457,0.09755685471215397,0.2658287284087078,0.12536847589908223
2,0.4980159073106704,0.4538712132590377,0.8649517838211305,0.1911195561367186,0.16391549775783607,0.13033751578718214
3,0.42071995888986896,0.39595090921285453,0.897463399880952,0.21995952236389396,0.09395761808558506,0.106754179487884
4,0.36767321594299807,0.34964397702953054,0.9081814986716513,0.31352813852813854,0.06776657114118413,0.10117832582246665
5,0.32922003865242006,0.31849784904737566,0.9112182936101098,0.44688764394646746,0.07265351441122939,0.11352893565610861
6,0.2999254613153396,0.29703447816839557,0.9110396667308746,0.3495436507936508,0.05864393609824549,0.08994312984457505
7,0.28045083092105005,0.28120328615332724,0.9113969266222988,0.3842460317460317,0.06280938995410185,0.09093274301920891
8,0.26242520905310107,0.26761437133194166,0.9140764693355253,0.396604938271605,0.08107938741215483,0.12000850698437387
9,0.24804326074738656,0.25797866663365504,0.9147910090504735,0.4524567081538595,0.09376483864249768,0.1338358133187355
10,0.23551127631818095,0.24765050794533977,0.9163987306919895,0.5307908776046031,0.11337495576884371,0.16780727926943242
11,0.22531136860770565,0.2383935290038394,0.9165773667706554,0.46329365079365087,0.11581580726692081,0.1674601013180433
12,0.21507016852978736,0.23191088351789393,0.9167560013160828,0.46043123543123543,0.11817374034391911,0.17111569583152186
13,0.20574815119466475,0.22589040818321743,0.920507348235397,0.6617244570460945,0.1545675359876898,0.23100830326595437
14,0.19728580242203128,0.21967285814009296,0.9215791555079617,0.6844636844636844,0.1723861366269569,0.25281534400237526
15,0.19051832691315682,0.21244685577043,0.9210432457387255,0.6285797602826588,0.1695863705111683,0.24101785696500386
16,0.18170857833277795,0.2086497740251075,0.924615942780228,0.6852823102823103,0.20276544152272372,0.2830636358314421
17,0.17389588173358672,0.20343242633572728,0.9258663922644121,0.7255913476501712,0.21914807530140934,0.31037056717390454
18,0.16582110918337298,0.19723471084016694,0.9301536397535318,0.8271546886489415,0.2556460763641428,0.3626639742948013
19,0.1597211290751734,0.1924689281312599,0.9306895479895294,0.7458618541951876,0.2617339458193015,0.3682543788114318
20,0.15320742187961456,0.18846518165428922,0.9290818278812519,0.7997165954969948,0.2695686003172937,0.3697371476117009
21,0.1477910884926396,0.18584288805244054,0.9339049728737,0.8716226302433199,0.30791217294696105,0.42713903400392206
22,0.13979028328772514,0.17926119665624243,0.9344408826429361,0.9181181563534504,0.31457577069415016,0.4323667161614406
23,0.13509058000579957,0.17249997760321933,0.9380135812176769,0.869922629352454,0.3426375641665765,0.4580629071022356
24,0.1271428268763327,0.1705479295594899,0.9417649235372758,0.9261846475662266,0.3946158170150314,0.5211139719626632
25,0.12283676430102318,0.16787864631970212,0.9390853869570029,0.9185667775064059,0.3644004509692449,0.4825295072877862
26,0.11706549900193368,0.16609333019547906,0.9419435596159417,0.8842579178021336,0.38882951343719013,0.5182801768450029
27,0.11289618265244268,0.15846013668265757,0.9449803576208771,0.8694603621686956,0.434615901215322,0.5591135815664434
28,0.10760753587368996,0.15713284751609974,0.9474812458565764,0.9316332957224797,0.4533410241506383,0.5826686207320445
29,0.10300605950816985,0.15287263039798982,0.9485530561956179,0.9244890608162919,0.4768744790429932,0.5976844138352928
30,0.0981891086985988,0.149174393373287,0.9501607839700876,0.9149697967771971,0.5012408982804136,0.623155945779985
31,0.09342894366671962,0.14376239572019822,0.9526616676060716,0.9207162892147411,0.5302800175742017,0.6501235205615827
32,0.08993288091113491,0.1428413394227672,0.9533762103874966,0.931930046074783,0.530092832343573,0.6521184668838376
33,0.08488289026483413,0.14013085789810806,0.9548052913506314,0.9126860966036339,0.5639955896622231,0.6728190805235122
34,0.08143967654435866,0.13758805566661994,0.9574848125985198,0.9165629311768316,0.5842536089811298,0.694234008097687
35,0.07751627059713487,0.13324809611035313,0.9578420847558515,0.9124195990001651,0.5923577542885775,0.6973800174836953
36,0.07464097190287805,0.13328564876145488,0.9615934286086889,0.9291300861545602,0.6285848649669016,0.7313721808594186
37,0.07053869953078608,0.12888035067982995,0.9610575065735452,0.920461278984851,0.6313869660662164,0.7305579705958487
38,0.06757391148036526,0.1253602438848885,0.9607002528150749,0.9264183082566717,0.617147037419683,0.7204841385394842
39,0.06505315981564984,0.12641729277908995,0.9615934178760197,0.9203778510474581,0.6407130589456898,0.7364626065736389
40,0.06158830934474545,0.12256628191068625,0.9642729529230541,0.926326846209887,0.6635359424843095,0.7596778563203935
41,0.059732354143934865,0.12088192541787095,0.9630225111050621,0.9276487128597992,0.6535115721536706,0.7526356464437175
42,0.05733052049913714,0.11771940885536923,0.9669524711044655,0.9361884748935402,0.6890336258251302,0.7831669228763014
43,0.053882137758116566,0.11797463678278723,0.9651661287166682,0.9174012961676434,0.6837469835552328,0.7713187010543682
44,0.051290071611442875,0.11878428129042076,0.9655233962742845,0.9110693632989102,0.693533344714143,0.778708957099158
45,0.04976052343845368,0.11525506531023136,0.9664165782008524,0.9220548805354627,0.700045643854692,0.782411871846079
46,0.047419674478230936,0.11210434799983954,0.9682029236551266,0.9291105522875756,0.7131038161937991,0.7984194565758306
47,0.04525772150485746,0.11455947496116736,0.967309752461228,0.921508580703896,0.7116358913615813,0.7939665139171175
48,0.04501612133556797,0.11100427082880517,0.9690961009819791,0.9252536436728894,0.7326286222098334,0.8097405169808541
49,0.042376430789309166,0.1120671533838729,0.9683815566673156,0.9201980687576304,0.72874961394486,0.8055441697067267
50,0.040055947077851144,0.10585771817294731,0.9696320015517845,0.9324380202439401,0.7302535393393944,0.8106352325818286
